id,alert_id,status,changed_by,changed_at
1,7,ACKNOWLEDGED,test-officer,2026-09-02 06:41:17.491533+00
2,7,ESCALATED,test-officer,2026-09-02 06:41:17.513996+00
3,8,ACKNOWLEDGED,test-officer,2026-09-02 06:41:17.909695+00
4,8,ESCALATED,second-test-officer,2026-09-02 06:41:17.929332+00
5,9,ACKNOWLEDGED,test-officer,2026-09-02 06:41:17.989201+00
6,9,DISMISSED,test-officer,2026-09-02 06:41:18.005391+00
7,10,ACKNOWLEDGED,test-officer,2026-09-02 06:41:52.26369+00
8,11,ACKNOWLEDGED,test-officer,2026-09-02 06:41:52.339067+00
9,11,ESCALATED,second-test-officer,2026-09-02 06:41:52.358818+00
10,12,ACKNOWLEDGED,test-officer,2026-09-02 06:41:52.417909+00
11,12,DISMISSED,test-officer,2026-09-02 06:41:52.437311+00
12,13,ACKNOWLEDGED,test-officer,2026-09-02 06:42:00.755621+00
13,14,ACKNOWLEDGED,test-officer,2026-09-02 06:42:00.834077+00
14,14,ESCALATED,second-test-officer,2026-09-02 06:42:00.853741+00
15,15,ACKNOWLEDGED,test-officer,2026-09-02 06:42:00.917418+00
16,15,DISMISSED,test-officer,2026-09-02 06:42:00.937942+00
17,16,ACKNOWLEDGED,test-officer,2026-09-02 06:42:01.018635+00
18,17,ACKNOWLEDGED,test-officer,2026-09-02 06:42:01.148363+00
19,19,ACKNOWLEDGED,test-officer,2026-09-02 06:42:36.500371+00
20,20,ACKNOWLEDGED,test-officer,2026-09-02 06:42:36.579956+00
21,20,ESCALATED,second-test-officer,2026-09-02 06:42:36.600492+00
22,21,ACKNOWLEDGED,test-officer,2026-09-02 06:42:36.66848+00
23,21,DISMISSED,test-officer,2026-09-02 06:42:36.690219+00
24,22,ACKNOWLEDGED,test-officer,2026-09-02 06:42:36.771094+00
25,23,ACKNOWLEDGED,test-officer,2026-09-02 06:42:36.916411+00
26,23,ESCALATED,second-test-officer,2026-09-02 06:42:36.935594+00
27,23,DISMISSED,test-officer,2026-09-02 06:42:36.955688+00
28,30,ACKNOWLEDGED,test-officer,2026-09-03 02:34:28.869816+00
29,31,ACKNOWLEDGED,test-officer,2026-09-03 02:34:28.910822+00
30,31,ESCALATED,second-test-officer,2026-09-03 02:34:28.921042+00
31,32,ACKNOWLEDGED,test-officer,2026-09-03 02:34:28.953472+00
32,32,DISMISSED,test-officer,2026-09-03 02:34:28.963231+00
33,33,ACKNOWLEDGED,test-officer,2026-09-03 02:34:29.01605+00
34,34,ACKNOWLEDGED,test-officer,2026-09-03 02:34:29.11258+00
35,34,ESCALATED,second-test-officer,2026-09-03 02:34:29.121905+00
36,34,DISMISSED,test-officer,2026-09-03 02:34:29.13873+00
37,37,ACKNOWLEDGED,test-officer,2026-09-03 02:38:11.518285+00
38,38,ACKNOWLEDGED,test-officer,2026-09-03 02:38:11.552749+00
39,38,ESCALATED,second-test-officer,2026-09-03 02:38:11.560316+00
40,39,ACKNOWLEDGED,test-officer,2026-09-03 02:38:11.584665+00
41,39,DISMISSED,test-officer,2026-09-03 02:38:11.59229+00
42,40,ACKNOWLEDGED,test-officer,2026-09-03 02:38:11.637719+00
43,41,ACKNOWLEDGED,test-officer,2026-09-03 02:38:11.697887+00
44,41,ESCALATED,second-test-officer,2026-09-03 02:38:11.70543+00
45,41,DISMISSED,test-officer,2026-09-03 02:38:11.713455+00
