id,camera_id,plate_number,watchlist_id,detection_id,matched_at,status
1,1,GJ01AB1234,1,1,2026-08-30 17:11:53.877462+00,NEW
2,4,GJ05CD5678,2,2,2026-08-30 17:11:53.877462+00,NEW
3,103,GX150GJ,11,8,2026-08-30 17:54:43.578182+00,NEW
4,103,GX150GJ,11,9,2026-08-31 04:37:03.47035+00,NEW
5,101,GX150GJ,11,10,2026-08-31 04:41:29.572502+00,NEW
6,102,GX150GJ,11,11,2026-08-31 04:42:36.369022+00,NEW
7,1,GJ01SOD001,12,12,2026-09-02 06:41:17.451633+00,NEW
8,1,GJ01SOD002,13,13,2026-09-02 06:41:17.886561+00,NEW
9,1,GJ01SOD003,14,14,2026-09-02 06:41:17.968862+00,NEW
10,1,GJ01SOD001,12,15,2026-09-02 06:41:52.234649+00,NEW
11,1,GJ01SOD002,13,16,2026-09-02 06:41:52.315921+00,NEW
12,1,GJ01SOD003,14,17,2026-09-02 06:41:52.395328+00,NEW
13,1,GJ01SOD001,12,18,2026-09-02 06:42:00.726249+00,NEW
14,1,GJ01SOD002,13,19,2026-09-02 06:42:00.81055+00,NEW
15,1,GJ01SOD003,14,20,2026-09-02 06:42:00.893697+00,NEW
16,1,GJ01ABB43C,21,21,2026-09-02 06:42:00.995646+00,NEW
17,1,GJ01ABACB0,22,22,2026-09-02 06:42:01.123456+00,NEW
18,3,GJ01AB3AA5,23,24,2026-09-02 06:42:01.65353+00,NEW
19,1,GJ01SOD001,12,27,2026-09-02 06:42:36.468771+00,NEW
20,1,GJ01SOD002,13,28,2026-09-02 06:42:36.557059+00,NEW
21,1,GJ01SOD003,14,29,2026-09-02 06:42:36.643955+00,NEW
22,1,GJ01AB01C4,27,30,2026-09-02 06:42:36.746222+00,NEW
23,1,GJ01AB489E,28,31,2026-09-02 06:42:36.892531+00,NEW
24,3,GJ01ABD4A2,29,33,2026-09-02 06:42:37.136667+00,NEW
25,3,GJ01AB73D6,30,37,2026-09-03 02:32:37.322087+00,NEW
26,2,GJ01ABB547,31,42,2026-09-03 02:32:37.606651+00,NEW
27,2,GJ01ABB547,31,43,2026-09-03 02:32:37.615803+00,NEW
28,3,GJ01AB7687,32,50,2026-09-03 02:34:21.738228+00,NEW
29,2,GJ01AB60A6,33,55,2026-09-03 02:34:21.850722+00,NEW
30,1,GJ01SOD001,12,62,2026-09-03 02:34:28.855329+00,NEW
31,1,GJ01SOD002,13,63,2026-09-03 02:34:28.900176+00,NEW
32,1,GJ01SOD003,14,64,2026-09-03 02:34:28.943612+00,NEW
33,1,GJ01AB0AC3,37,65,2026-09-03 02:34:29.003557+00,NEW
34,1,GJ01ABF613,38,66,2026-09-03 02:34:29.098508+00,NEW
35,3,GJ01AB4A32,39,68,2026-09-03 02:34:29.242746+00,NEW
36,2,GJ01AB12EF,40,73,2026-09-03 02:34:29.373259+00,NEW
37,1,GJ01SOD001,12,80,2026-09-03 02:38:11.502183+00,NEW
38,1,GJ01SOD002,13,81,2026-09-03 02:38:11.544116+00,NEW
39,1,GJ01SOD003,14,82,2026-09-03 02:38:11.575549+00,NEW
40,1,GJ01ABF8B2,44,83,2026-09-03 02:38:11.62809+00,NEW
41,1,GJ01AB4F6F,45,84,2026-09-03 02:38:11.688663+00,NEW
42,3,GJ01ABE785,46,86,2026-09-03 02:38:11.792444+00,NEW
43,2,GJ01AB1142,47,91,2026-09-03 02:38:11.88149+00,NEW
