id,camera_id,connectivity_status,changed_at
53,44,offline,2026-08-31 20:23:11.984287+00
54,45,offline,2026-08-31 20:23:11.986066+00
55,44,offline,2026-08-31 20:23:11.992668+00
56,45,offline,2026-08-31 20:23:11.984369+00
57,45,online,2026-08-31 20:23:27.052422+00
58,44,online,2026-08-31 20:23:27.0581+00
59,44,online,2026-08-31 20:23:27.068486+00
60,45,online,2026-08-31 20:23:27.050406+00
61,43,offline,2026-08-31 20:30:27.72337+00
62,44,offline,2026-08-31 20:30:27.720588+00
63,45,offline,2026-08-31 20:30:27.719667+00
64,44,offline,2026-08-31 20:30:27.722514+00
65,43,offline,2026-08-31 20:30:27.720681+00
66,45,offline,2026-08-31 20:30:27.719826+00
67,47,offline,2026-08-31 20:30:27.8787+00
68,47,offline,2026-08-31 20:30:27.879889+00
69,46,offline,2026-08-31 20:30:27.883827+00
70,48,offline,2026-08-31 20:30:27.885056+00
71,46,offline,2026-08-31 20:30:27.885884+00
72,48,offline,2026-08-31 20:30:27.888695+00
73,46,online,2026-09-01 02:17:11.833909+00
74,43,online,2026-09-01 02:17:11.855209+00
75,46,online,2026-09-01 02:17:11.832999+00
76,43,online,2026-09-01 02:17:11.855343+00
77,44,online,2026-09-01 02:17:11.923037+00
78,44,online,2026-09-01 02:17:11.926234+00
79,48,online,2026-09-01 02:17:11.953275+00
80,48,online,2026-09-01 02:17:11.953096+00
81,45,online,2026-09-01 02:17:11.994812+00
82,45,online,2026-09-01 02:17:11.995773+00
83,47,online,2026-09-01 02:17:12.03527+00
84,44,offline,2026-09-01 02:23:06.043704+00
85,43,offline,2026-09-01 02:23:06.044188+00
86,46,offline,2026-09-01 02:23:06.044475+00
87,46,offline,2026-09-01 02:23:06.043559+00
88,43,offline,2026-09-01 02:23:06.043346+00
89,44,offline,2026-09-01 02:23:06.043759+00
90,45,offline,2026-09-01 02:23:06.146956+00
91,47,offline,2026-09-01 02:23:06.147179+00
92,48,offline,2026-09-01 02:23:06.148573+00
93,45,offline,2026-09-01 02:23:06.147725+00
94,48,offline,2026-09-01 02:23:06.148342+00
95,47,offline,2026-09-01 02:23:06.149867+00
96,46,online,2026-09-01 02:24:49.921175+00
97,46,online,2026-09-01 02:24:49.922822+00
98,44,online,2026-09-01 02:24:49.932836+00
99,44,online,2026-09-01 02:24:49.934897+00
100,47,online,2026-09-01 02:24:49.965236+00
101,47,online,2026-09-01 02:24:49.964413+00
102,45,online,2026-09-01 02:24:49.979264+00
103,48,online,2026-09-01 02:24:49.979429+00
104,45,online,2026-09-01 02:24:49.981004+00
105,48,online,2026-09-01 02:24:49.982307+00
106,43,online,2026-09-01 02:24:50.004033+00
107,43,online,2026-09-01 02:24:50.004501+00
126,115,offline,2026-09-02 06:01:36.536898+00
127,116,offline,2026-09-02 06:01:36.587888+00
128,117,offline,2026-09-02 06:01:36.635002+00
129,117,online,2026-09-02 06:01:36.644356+00
130,117,offline,2026-09-02 06:01:36.653488+00
131,119,offline,2026-09-02 06:01:36.759434+00
132,122,offline,2026-09-02 06:01:36.869717+00
133,123,offline,2026-09-02 06:01:36.905961+00
134,123,online,2026-09-02 06:01:36.916338+00
135,129,offline,2026-09-02 06:13:23.232747+00
136,130,offline,2026-09-02 06:13:23.268207+00
137,131,offline,2026-09-02 06:13:23.308284+00
138,131,online,2026-09-02 06:13:23.316546+00
139,131,offline,2026-09-02 06:13:23.324528+00
140,133,offline,2026-09-02 06:13:23.398626+00
141,136,offline,2026-09-02 06:13:23.487037+00
142,137,offline,2026-09-02 06:13:23.513595+00
143,137,online,2026-09-02 06:13:23.521466+00
144,143,offline,2026-09-02 06:22:10.590518+00
145,144,offline,2026-09-02 06:22:10.623248+00
146,145,offline,2026-09-02 06:22:10.666527+00
147,145,online,2026-09-02 06:22:10.676338+00
148,145,offline,2026-09-02 06:22:10.685664+00
149,147,offline,2026-09-02 06:22:10.772725+00
150,150,offline,2026-09-02 06:22:10.869674+00
151,151,offline,2026-09-02 06:22:10.898282+00
152,151,online,2026-09-02 06:22:10.908084+00
153,157,offline,2026-09-02 06:26:00.061034+00
154,158,offline,2026-09-02 06:26:00.156759+00
155,159,offline,2026-09-02 06:26:00.253908+00
156,159,online,2026-09-02 06:26:00.277342+00
157,159,offline,2026-09-02 06:26:00.299089+00
158,161,offline,2026-09-02 06:26:00.526384+00
159,164,offline,2026-09-02 06:26:00.734616+00
160,165,offline,2026-09-02 06:26:00.809459+00
161,165,online,2026-09-02 06:26:00.832189+00
162,171,offline,2026-09-02 06:31:24.163141+00
163,172,offline,2026-09-02 06:31:24.255214+00
164,173,offline,2026-09-02 06:31:24.365347+00
165,173,online,2026-09-02 06:31:24.389356+00
166,173,offline,2026-09-02 06:31:24.412328+00
167,175,offline,2026-09-02 06:31:24.651568+00
168,178,offline,2026-09-02 06:31:24.869427+00
169,179,offline,2026-09-02 06:31:24.974217+00
170,179,online,2026-09-02 06:31:24.992807+00
171,200,offline,2026-09-02 06:35:10.518533+00
172,201,offline,2026-09-02 06:35:10.598023+00
173,202,offline,2026-09-02 06:35:10.710912+00
174,202,online,2026-09-02 06:35:10.732898+00
175,202,offline,2026-09-02 06:35:10.754786+00
