id,plate_number,camera_id,detected_at,confidence,scenario_run_id,source,event_id
1,GJ01AB1234,1,2026-08-30 17:11:53.875118+00,0.91,,,
2,GJ05CD5678,4,2026-08-30 17:11:53.875118+00,0.87,,,
3,GJ19XY4432,2,2026-08-30 17:11:53.875118+00,0.76,,,
4,GJ03LM8821,7,2026-08-30 17:11:53.875118+00,0.68,,,
5,GX150GJ,103,2026-08-30 17:21:24.723745+00,0.92,49881ca6-2e18-4f4b-90e4-bbeaee2c7663,vehicle-trace-demo,
6,GX150GJ,102,2026-08-30 17:22:49.235671+00,0.92,49881ca6-2e18-4f4b-90e4-bbeaee2c7663,vehicle-trace-demo,
7,GX15OGJ,101,2026-08-30 17:23:04.721631+00,0.87,49881ca6-2e18-4f4b-90e4-bbeaee2c7663,vehicle-trace-demo,
8,GX150GJ,103,2026-08-30 17:54:43.578182+00,0.95,,,
9,GX150GJ,103,2026-08-31 04:37:03.47035+00,0.85,,,
10,GX150GJ,101,2026-08-31 04:41:29.572502+00,0.92,,,
11,GX150GJ,102,2026-08-31 04:42:36.369022+00,0.94,,,
12,GJ01SOD001,1,2026-09-02 06:41:17.451633+00,0.95,,,
13,GJ01SOD002,1,2026-09-02 06:41:17.886561+00,0.95,,,
14,GJ01SOD003,1,2026-09-02 06:41:17.968862+00,0.95,,,
15,GJ01SOD001,1,2026-09-02 06:41:52.234649+00,0.95,,,
16,GJ01SOD002,1,2026-09-02 06:41:52.315921+00,0.95,,,
17,GJ01SOD003,1,2026-09-02 06:41:52.395328+00,0.95,,,
18,GJ01SOD001,1,2026-09-02 06:42:00.726249+00,0.95,,,
19,GJ01SOD002,1,2026-09-02 06:42:00.81055+00,0.95,,,
20,GJ01SOD003,1,2026-09-02 06:42:00.893697+00,0.95,,,
21,GJ01ABB43C,1,2026-09-02 06:42:00.995646+00,,,,
22,GJ01ABACB0,1,2026-09-02 06:42:01.123456+00,,,,
23,GJ01AB96D1,1,2026-09-02 06:42:01.566843+00,0.82,,,
24,GJ01AB3AA5,3,2026-09-02 06:42:01.65353+00,,,,
25,GJ01ABD325,5,2026-09-02 06:42:01.69173+00,,,,
26,GJ01AB6375,9,2026-09-02 06:42:01.727886+00,,,,
27,GJ01SOD001,1,2026-09-02 06:42:36.468771+00,0.95,,,
28,GJ01SOD002,1,2026-09-02 06:42:36.557059+00,0.95,,,
29,GJ01SOD003,1,2026-09-02 06:42:36.643955+00,0.95,,,
30,GJ01AB01C4,1,2026-09-02 06:42:36.746222+00,,,,
31,GJ01AB489E,1,2026-09-02 06:42:36.892531+00,,,,
32,GJ01AB5E85,1,2026-09-02 06:42:37.052997+00,0.82,,,
33,GJ01ABD4A2,3,2026-09-02 06:42:37.136667+00,,,,
34,GJ01AB8CC3,5,2026-09-02 06:42:37.179475+00,,,,
35,GJ01AB07F6,9,2026-09-02 06:42:37.211501+00,,,,
36,GJ01AB7AC1,1,2026-09-03 02:32:37.208138+00,0.82,,,
37,GJ01AB73D6,3,2026-09-03 02:32:37.322087+00,,,,
38,GJ01AB8259,5,2026-09-03 02:32:37.355298+00,,,,
39,GJ01AB9374,9,2026-09-03 02:32:37.37895+00,,,,
40,GJ01AB56D5,1,2026-09-03 02:32:37.402839+00,0.9,,,
41,GJ01AB56D5,1,2026-09-03 02:32:37.414584+00,0.9,,,
42,GJ01ABB547,2,2026-09-03 02:32:37.606651+00,,,,
43,GJ01ABB547,2,2026-09-03 02:32:37.615803+00,,,,
44,GJ01ABE113,1,2026-09-03 02:32:37.631448+00,,,,
45,GJ01ABE113,1,2026-09-03 02:32:37.638981+00,,,,
46,GJ01AB9505,1,2026-09-03 02:32:37.647344+00,,,,
47,GJ01AB9505,1,2026-09-03 02:32:37.653827+00,,,,
48,GJ01ABA6DF,1,2026-09-03 02:32:37.662793+00,,,,
49,GJ01ABC629,1,2026-09-03 02:34:21.679147+00,0.82,,,
50,GJ01AB7687,3,2026-09-03 02:34:21.738228+00,,,,
51,GJ01AB73C9,5,2026-09-03 02:34:21.761229+00,,,,
52,GJ01AB6984,9,2026-09-03 02:34:21.778319+00,,,,
53,GJ01ABD1B6,1,2026-09-03 02:34:21.79376+00,0.9,,,ad1cd06b-a132-4c7d-acb9-50cc7b88402e
55,GJ01AB60A6,2,2026-09-03 02:34:21.850722+00,,,,fff8e1f2-9fd9-429d-80e7-d1eb9490246b
57,GJ01AB57F2,1,2026-09-03 02:34:21.902751+00,,,,b25b582b-aaf6-4aee-a792-b576e715f421
58,GJ01AB57F2,1,2026-09-03 02:34:21.911885+00,,,,32763a33-34a8-4857-b6c2-93ce752539aa
59,GJ01AB4BE3,1,2026-09-03 02:34:21.922684+00,,,,
60,GJ01AB4BE3,1,2026-09-03 02:34:21.933764+00,,,,
61,GJ01AB3F0D,1,2026-09-03 02:34:21.945082+00,,,,e3e61dc1-8c6d-4140-9c13-4c61dec8f90d
62,GJ01SOD001,1,2026-09-03 02:34:28.855329+00,0.95,,,
63,GJ01SOD002,1,2026-09-03 02:34:28.900176+00,0.95,,,
64,GJ01SOD003,1,2026-09-03 02:34:28.943612+00,0.95,,,
65,GJ01AB0AC3,1,2026-09-03 02:34:29.003557+00,,,,
66,GJ01ABF613,1,2026-09-03 02:34:29.098508+00,,,,
67,GJ01AB3B5C,1,2026-09-03 02:34:29.193603+00,0.82,,,
68,GJ01AB4A32,3,2026-09-03 02:34:29.242746+00,,,,
69,GJ01ABB1E7,5,2026-09-03 02:34:29.274999+00,,,,
70,GJ01AB9377,9,2026-09-03 02:34:29.295449+00,,,,
